"token","freq","which"
"– a",6,2
"– adults",2,2
"– all",2,2
"– and",25,2
"– as",3,2
"– british",2,2
"– but",10,2
"– for",4,2
"– from",2,2
"– i",14,2
"– i’m",2,2
"– in",4,2
"– it",5,2
"– just",3,2
"– not",4,2
"– or",2,2
"– see",2,2
"– so",5,2
"– the",15,2
"– they",6,2
"– this",2,2
"– to",3,2
"– we",2,2
"– when",2,2
"– which",3,2
"– whoever",2,2
"– with",2,2
"– you",6,2
"— and",3,2
"— i",2,2
"— if",3,2
"— this",3,2
"— which",2,2
"‘i sacrifice",2,2
"‘it is",2,2
"“as a",2,2
"“but i",2,2
"“don’t you",2,2
"“i am",3,2
"“i didn’t",2,2
"“i don’t",2,2
"“i have",2,2
"“i hope",2,2
"“i told",2,2
"“if you",3,2
"“it’s not",2,2
"“mystery of",2,2
"“save the",3,2
"“this is",2,2
"“we need",2,2
"“when you",2,2
"“yes yes",2,2
"“you can’t",2,2
"“you have",2,2
"£ and",3,2
"£ for",5,2
"… it’s",2,2
"… more",2,2
"… was",2,2
"a ×",2,2
"a and",3,2
"a baby",8,2
"a bad",15,2
"a baking",2,2
"a ball",5,2
"a band",3,2
"a bank",4,2
"a bankruptcy",2,2
"a bar",2,2
"a basic",2,2
"a batch",2,2
"a battle",3,2
"a beautiful",20,2
"a beauty",2,2
"a beer",7,2
"a bell",2,2
"a better",11,2
"a big",29,2
"a bigger",2,2
"a bike",2,2
"a bill",2,2
"a billion",3,2
"a bit",75,2
"a bitch",2,2
"a black",8,2
"a blank",2,2
"a blast",2,2
"a blessed",2,2
"a blessing",3,2
"a blind",2,2
"a blog",4,2
"a bloody",2,2
"a blue",3,2
"a body",2,2
"a boil",3,2
"a boiling",2,2
"a bomb",2,2
"a book",17,2
"a boring",2,2
"a bottle",5,2
"a bowl",5,2
"a box",2,2
"a boy",4,2
"a brand",2,2
"a break",7,2
"a brief",11,2
"a broken",4,2
"a brother",2,2
"a brown",2,2
"a budget",4,2
"a bunch",9,2
"a busy",5,2
"a butler’s",2,2
"a butterfly",2,2
"a buyer",2,2
"a cake",4,2
"a call",5,2
"a camera",4,2
"a can",2,2
"a candidate",2,2
"a captain",3,2
"a car",3,2
"a card",7,2
"a care",2,2
"a career",3,2
"a cat",3,2
"a cats",2,2
"a cause",2,2
"a central",3,2
"a century",2,2
"a certain",12,2
"a certificate",2,2
"a challenge",11,2
"a chance",13,2
"a change",2,2
"a character",4,2
"a charity",2,2
"a check",2,2
"a child",15,2
"a choice",7,2
