"token","freq"
"– ’m",2
"– ’ve",2
"– even",3
"– just",5
"– much",2
"– two",2
"– whoever",2
"– will",2
"— fight",2
"— first",3
"— including",3
"— just",3
"— love",2
"— maybe",2
"— new",2
"— one",2
"— perfect",2
"— plays",2
"— put",2
"— still",2
"‘ ’",2
"’d go",2
"’d like",3
"’d love",3
"’d say",3
"’d share",2
"’ll get",2
"’ll go",2
"’ll need",3
"’ll never",2
"’ll see",2
"’m also",2
"’m getting",2
"’m going",7
"’m just",4
"’m proud",2
"’m saying",2
"’m sorry",2
"’m sure",7
"’m waiting",2
"’re going",7
"’s actually",2
"’s almost",4
"’s also",5
"’s always",3
"’s another",3
"’s anything",2
"’s appropriate",2
"’s case",2
"’s definitely",2
"’s entirely",2
"’s even",2
"’s exactly",2
"’s going",8
"’s gonna",2
"’s good",4
"’s happening",2
"’s hard",2
"’s honest",3
"’s hoping",2
"’s just",5
"’s little",3
"’s long",2
"’s one",5
"’s possible",2
"’s probably",2
"’s proper",2
"’s really",4
"’s reason",2
"’s right",2
"’s still",3
"’s telling",2
"’s time",3
"’s warm",2
"’ve always",2
"’ve come",2
"’ve done",3
"’ve ever",2
"’ve found",3
"’ve got",5
"’ve heard",2
"’ve learned",3
"“ ’m",3
"“ ’s",3
"“ always",2
"“ can",4
"“ can’t",4
"“ decided",2
"“ didn’t",4
"“ difference",2
"“ don’t",4
"“ felt",4
"“ first",2
"“ get",2
"“ got",2
"“ guys",2
"“ just",2
"“ know",2
"“ like",2
"“ need",3
"“ one",2
"“ read",2
"“ think",2
"“ will",2
"“ wish",2
"“’re going",2
"“save cat”",2
"“yes yes",2
"” said",9
"a lot",4
"a man",2
"a recent",2
"a short",2
"a spokesman",2
"abbreviation anno",2
"able compete",2
"able get",5
"able make",3
"able spend",2
"academic year",2
"access internet",2
"according court",2
"according data",2
"according documents",2
"according report",3
"according state",4
"accused using",2
"achieve goal",2
"achieving greater",2
"acoustic guitar",2
"across border",2
"across country",3
"across state",2
"act love",2
"act soon",2
"activities program",2
"activity students",2
"acts peter",2
"actually get",2
"add add",3
"add dry",2
"add garlic",2
"add water",3
"address package",2
"adhd rate",2
"admission free",2
"adult students",2
"advisory board",2
"affordable housing",2
"african american",2
"african influences",2
"agave syrup",2
"age ’s",2
"age limits",2
"age statements",2
"agency said",2
"agents working",2
"ago today",3
"airsoft weapon",2
"akron ohio",2
"alarm companies",2
"albert einstein",2
"album hagar",2
"albuquerque turkey",3
"alex padilla",2
"alfaro five",2
"alfonzo dennard",2
"alice wonderland",2
"all three",4
"allen hamilton",2
"allow enough",2
"almost entirely",2
"almost like",2
"along katy",2
"along way",2
"already done",3
"already house",2
"already know",2
"already left",2
"already taken",2
"already using",2
"also called",2
"also contributed",2
"also cut",2
"also discovers",2
"also features",2
"also found",3
"also good",2
"also got",3
"also include",2
"also includes",2
"also joined",2
"also known",3
"also look",2
"also love",2
"also make",2
"also one",2
"also plan",2
"also play",2
"also said",4
"also says",2
"also shared",2
"also since",2
"also take",2
"also think",2
"also turn",2
"also use",2
"also used",2
"also want",2
"also will",2
"always always",2
"always find",2
"always fun",2
"always going",2
"always loved",2
"always say",2
"always seems",2
"always spare",2
"always wait",2
"always wanted",3
"am one",2
"amazing job",3
"amendment constitution",2
"american bandstand",2
"american civil",2
"american idol",4
"american institute",2
"american league",2
"american public",2
"american society",2
"among top",2
"amount money",2
"amount time",2
"analysts say",2
"and now",2
"and one",3
"andrew designs",2
"angeles recently",2
"angry angry",2
"animal planet",2
"animal print",5
"annual basis",2
"another day",2
"another great",2
"another level",2
"another love",2
"another man",2
"another one",2
"another reason",2
"another sometimes",2
"another time",2
"another track",2
"another two",2
"answer questions",2
"antibes green",2
"anxiety attack",2
"anybody want",2
"anyone can",2
"anyone else",6
"anyone even",2
"anyone ever",2
"anyone know",4
"anyone paid",2
"anything else",3
"anything goes",3
"anything like",3
"anything really",2
"anytime want",2
"ap —",5
"apple inc",2
"apple tree",2
"applies everyone",2
"applying jobs",3
"april pm",2
"area residents",2
"argentina bolivia",2
"arizona state",2
"arizonas new",2
"around corner",2
"around country",2
"around house",5
"around just",2
"around like",2
"around long",2
"around one",3
"around pm",5
"around see",2
"around time",2
"around world",7
"arrested today",2
"arrests made",2
"arrived home",2
"art history",2
"art lessons",2
"art new",3
"art theory",2
"arts center",2
"asked “",2
"asked whether",3
"assembly speaker",2
"associate professor",2
"associated press",2
"association said",2
"at least",4
"at point",3
"athletic department",2
"atlantic city",4
"attack carried",2
"attendees can",2
"attorney general",5
"auburn hills",2
"audubon center",2
"authorities said",5
"available public",2
"available wednesday",2
"ave cleveland",2
"avenue pm",2
"average daily",4
"average gallon",2
"average hours",2
"average per",2
"average percent",2
"aw well",2
"award chosen",2
"away back",2
"away chance",2
"away many",2
"away time",2
"awesome im",2
"awesome one",2
"awesome thanks",2
"awkward moment",2
"baby doll",2
"baby girl",2
"bachelors degree",2
"back beginning",2
"back cleveland",2
"back day",2
"back door",3
"back enjoy",3
"back every",2
"back first",2
"back forth",3
"back frame",2
"back great",2
"back hes",2
"back home",4
"back last",3
"back late",2
"back making",2
"back maybe",2
"back next",5
"back nine",3
"back place",2
"back room",2
"back school",4
"back seat",3
"back time",2
"back tree",2
"back van",2
"background pic",2
"background scene",2
"bad boy",2
"bad boys",2
"bad day",2
"bad guys",2
"bad idea",3
"bad keep",2
"bad news",6
"bad thing",2
"baking dish",3
"bal harbour",3
"balance budget",2
"ball even",2
"ball guarding",2
"baltimore county",2
"band together",2
"bank opening",2
"bankruptcy estate",2
"bankruptcy filing",3
"bar admission",2
"barack obama",4
"barbed wire",2
"barnes noble",3
"barrels day",2
"bars back",2
"bars like",3
"basketball game",2
"basketball players",2
"basketball program",2
"baton twirling",2
"battery park",4
"bay area",3
"bbq chicken",2
"beatrice m",2
"beautiful day",5
"beautiful girl",2
"become friends",3
"becoming first",2
"beer choice",2
"beer regular",2
"beers one",2
"began shortly",2
"beginning year",2
"behind house",3
"behind past",2
"believe hearing",2
"believe im",3
"believed god",2
"benefit charity",2
"bertien van",2
"best birthday",2
"best can",3
"best choice",2
"best efforts",3
"best friend",6
"best friends",2
"best idea",2
"best known",3
"best part",4
"best player",2
"best records",2
"best thing",2
"best way",4
"best work",3
"better better",2
"better future",2
"better get",2
"better known",3
"better one",2
"better yet",2
"big bits",3
"big day",2
"big deal",3
"big difference",2
"big east",3
"big enough",2
"big hit",3
"big huge",2
"big increases",2
"big party",2
"big push",2
"big ten",3
"big thing",3
"biggest reason",2
"billion debt",2
"billion economic",2
"billion projected",2
"billion years",2
"billions dollars",2
"bin laden",4
"birth control",3
"birthday ever",2
"bit like",2
"bit time",3
"black hole",4
"black ink",2
"black keys",3
"black men",2
"black truffle",2
"black white",6
"blank page",2
"block south",3
"blog hop",4
"blog just",2
"blog post",5
"blog world",2
"blood cells",2
"blood jumping",2
"blood money",2
"blood pressure",3
"blue birds",2
"blue jays",3
"board education",2
"board member",4
"board voted",2
"board will",3
"boe program",2
"boiling point",2
"bone hunt",2
"book award",2
"book club",2
"book like",2
"book review",4
"book said",2
"book series",2
"booker t",2
