"token","freq"
"— maybe even",2
"— new york",2
"’m waiting hear",2
"’s warm enough",2
"’ve found great",2
"“ felt like",4
"“yes yes yes”",2
"” said “",2
"according state department",2
"achieving greater speedaccuracy",2
"add add add",2
"add dry ingredients",2
"adhd rate percent",2
"american civil liberties",2
"another great artist",2
"anyone paid attention",2
"anything else can",2
"ap — new",2
"arizonas new law",2
"art new york",3
"average daily ridership",2
"average hours per",2
"away many years",2
"bal harbour shops",2
"battery park city",2
"battery park city’s",2
"beer regular beer",2
"bertien van manen",2
"best birthday ever",2
"bin laden killing",2
"blog hop much",2
"blood jumping jack",2
"booz allen hamilton",2
"boston red sox",2
"bowl nice warm",2
"broth boiling point",2
"bus hazing took",2
"can also take",2
"can easily see",2
"can get away",2
"can just call",2
"can still get",2
"cant tell anyone",2
"cant wait see",2
"car rental company",2
"cards cookies blog",2
"center god’s will",2
"centers disease control",2
"cents per share",2
"charlie chocolate factory",2
"chicago suburban cook",2
"chief operating officer",2
"choir members will",2
"choral award chosen",2
"christmas cards cookies",2
"cinco de mayo",2
"city council members",2
"city officials say",2
"cleveland clinic innovations",2
"come back frame",2
"come visit us",2
"commemorative wine glass",2
"commissioner gary bettman",2
"commit united states",2
"committee last week",2
"community center north",2
"companys bankruptcy estate",2
"cook minutes stirring",2
"cookies blog hop",2
"county sheriffs office",2
"cute surfer boy",2
"cutting ties parents",2
"day years ago",2
"department environmental protection",2
"department natural resources",2
"department public health",2
"despite best efforts",2
"diego san diego",2
"don’t think ’s",2
"don’t want see",3
"dont forget follow",2
"dr risk will",2
"e street band",2
"economic development chief",2
"edward jones dome",2
"ending mar rs",2
"engaged political activity",2
"enter many times",2
"entering sixth seventhgraders",2
"environment percent said",2
"environmental management systems",2
"even though im",2
"event will held",2
"every time get",3
"every time play",2
"evolution mitsubishi forums",6
"extra driver fee",2
"eyes wide open",2
"family members friends",2
"fee year loans",2
"feel free give",2
"feel like one",2
"first time history",2
"first time one",2
"first time since",5
"first world war",2
"firstround pick overall",2
"five years ago",2
"focused achieving greater",2
"food drug administration",2
"forward player massachusetts",2
"forward player overall",2
"four years ago",3
"fourstar prospect small",3
"fractional reserve banking",2
"freckle face girl",2
"free throw line",3
"french flea market",2
"general manager tom",2
"get things going",2
"girardi said “",2
"goals per game",2
"god’s will purpose",2
"goes long way",2
"going right now",2
"going take care",2
"good things im",2
